estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2011-2015,B01001_43_62_to_64_years,10017,1510,2322,3970,18323,16279,3133,278,978,19047,1335,3403,6347,172,1683,1609,749,2344,527,202,375,470,147,1078
2011-2015,B01001_44_65_and_66_years,5776,1141,1343,2507,10628,9250,1840,225,559,10778,672,2294,3258,156,1692,899,420,1350,255,145,164,204,90,730
2011-2015,B01001_45_67_to_69_years,7599,928,1956,3048,13008,10974,2047,360,811,13113,1256,3061,3788,142,1316,1405,392,1580,430,141,212,381,68,706
2011-2015,B01001_46_70_to_74_years,9761,1319,2038,3509,16874,13682,2498,245,692,15709,1293,3407,5207,239,1781,1747,857,1862,356,171,400,450,199,953
2011-2015,B01001_47_75_to_79_years,7601,1050,1486,2684,12619,8861,1718,216,497,10730,796,2481,2944,176,1170,941,514,1419,383,119,325,268,166,639
2011-2015,B01001_48_80_to_84_years,5619,779,1204,2186,10323,6598,1337,234,567,8030,696,1756,1907,82,1106,771,482,941,273,106,249,272,35,466
2011-2015,B01001_49_85_years_and_over,7300,898,1128,2862,14193,6633,1812,232,401,9479,671,1934,2162,83,1094,751,284,1168,337,116,321,256,32,441
2011-2015,B02001_1_total,647484,90114,152754,241373,1017859,892816,223945,14299,48424,1128722,67463,351129,437271,7431,127691,137145,38481,149315,23402,13308,27395,40743,15625,55214
2011-2015,B02001_2_white_alone,260325,73776,73934,196573,566202,182066,161376,12688,37418,710015,58881,237961,268698,6865,94819,96182,34931,95703,16263,10332,17982,29104,10223,48722
2011-2015,B02001_3_black_or_african_american_alone,316447,11451,64532,21742,179224,566467,18936,784,6949,105685,4999,26096,89491,311,20395,23492,1542,31916,1127,283,6383,5809,1935,3846
2011-2015,B02001_4_american_indian_and_alaska_native_alone,2154,129,1065,685,2716,3167,1130,61,203,2585,73,823,1542,10,537,506,73,282,88,0,58,138,51,67
2011-2015,B02001_5_asian_alone,23822,1263,4984,10284,148220,38124,22196,139,695,207312,852,56883,33993,60,3236,4032,401,9835,3622,1521,678,2136,1486,896
2011-2015,B02001_6_native_hawaiian_and_other_pacific_islander_alone,250,0,192,145,455,267,212,0,55,691,19,227,411,0,194,157,4,26,14,0,26,48,0,0
2011-2015,B02001_7_some_other_race_alone,27159,441,1460,4482,80003,79547,13319,338,980,50662,506,12731,20079,23,4871,7029,201,4718,1037,473,1005,1809,946,313
2011-2015,B02001_8_two_or_more_races,17327,3054,6587,7462,41039,23178,6776,289,2124,51772,2133,16408,23057,162,3639,5747,1329,6835,1251,699,1263,1699,984,1370
2011-2015,B02001_9_two_races_including_some_other_race,2442,37,477,923,7479,3707,1003,26,205,7952,91,2457,2444,12,406,554,77,1400,390,99,199,293,301,206
2011-2015,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",14885,3017,6110,6539,33560,19471,5773,263,1919,43820,2042,13951,20613,150,3233,5193,1252,5435,861,600,1064,1406,683,1164
2011-2015,B11001_1_total,273390,31155,53171,88494,365235,305610,98441,5526,16515,392355,23595,113432,136794,3273,42823,43405,14364,66879,8467,5166,10080,12433,4723,20331
2011-2015,B11001_2_family_households,118737,23245,38911,63500,253531,201936,45768,3676,12430,280010,17346,87905,105896,2276,33531,35578,10108,32393,5789,3281,5663,9194,3383,14353
2011-2015,B11001_3_married-couple_family,65383,17927,28003,50059,196140,119543,37030,2775,9593,228571,14732,74313,82368,1923,26264,28814,7552,24221,4645,2752,3449,7076,2582,10999
2011-2015,B11001_4_other_family,53354,5318,10908,13441,57391,82393,8738,901,2837,51439,2614,13592,23528,353,7267,6764,2556,8172,1144,529,2214,2118,801,3354
2011-2015,"B11001_5_male_householder,_no_wife_present",10502,1431,2272,3975,15558,20527,3043,171,918,15285,815,4051,7787,191,1913,1792,785,2450,360,122,261,537,205,1046
2011-2015,"B11001_6_female_householder,_no_husband_present",42852,3887,8636,9466,41833,61866,5695,730,1919,36154,1799,9541,15741,162,5354,4972,1771,5722,784,407,1953,1581,596,2308
2011-2015,B11001_7_nonfamily_households,154653,7910,14260,24994,111704,103674,52673,1850,4085,112345,6249,25527,30898,997,9292,7827,4256,34486,2678,1885,4417,3239,1340,5978
2011-2015,B11001_8_householder_living_alone,119803,6324,12007,19727,91606,85976,39200,1509,3315,88074,5025,19562,24609,844,7483,6280,3374,28016,1681,1660,3597,2662,1022,4663
2011-2015,B11001_9_householder_not_living_alone,34850,1586,2253,5267,20098,17698,13473,341,770,24271,1224,5965,6289,153,1809,1547,882,6470,997,225,820,577,318,1315
2011-2015,B15002_1_total,453952,60190,100163,161783,698595,590874,168459,10189,32258,766502,45852,223162,275632,5628,83464,85795,26368,113816,16493,9077,16063,25806,9902,37200
2011-2015,B15002_2_male,212952,29182,46842,78191,327049,274962,83961,4862,15998,372862,22375,108672,134878,2832,40280,42324,13029,54426,8043,4237,7677,12735,4915,18139
2011-2015,B15002_3_no_schooling_completed,2709,64,315,759,4537,4447,1386,11,183,5128,202,1072,1626,0,326,103,117,573,60,8,55,483,99,91
2011-2015,B15002_4_nursery_to_4th_grade,1682,79,52,165,3337,5418,85,0,83,2980,36,517,1021,21,55,97,83,673,58,0,72,211,44,81
2011-2015,B15002_5_5th_and_6th_grade,2252,75,208,420,5196,9645,1030,49,406,5009,210,1063,2186,70,406,201,145,684,77,0,107,403,217,186
2011-2015,B15002_6_7th_and_8th_grade,3244,391,488,674,3240,5275,708,184,628,3448,320,947,1402,179,820,589,378,546,47,0,55,422,110,720
2011-2015,B15002_7_9th_grade,3062,363,543,775,3402,6534,326,44,307,3868,204,797,2326,134,646,339,371,615,53,54,49,201,239,194
2011-2015,B15002_8_10th_grade,3454,501,691,1190,2090,4621,401,133,512,2622,358,758,1672,38,1038,428,297,442,73,7,129,194,43,427
2011-2015,B15002_9_11th_grade,4585,485,1029,1119,2690,4845,592,80,570,2494,365,499,1732,29,807,758,486,380,83,0,125,185,172,368
2011-2015,"B15002_10_12th_grade,_no_diploma",2877,470,762,1041,4710,5979,779,161,229,4468,395,1128,2314,11,624,569,365,714,126,0,122,267,100,219
2011-2015,B15002_11_high_school_graduate_(includes_equivalency),37090,9739,16427,20291,43197,75575,6594,1371,5694,42715,6271,14679,28675,706,13034,10210,4796,6294,1096,265,2185,3534,1233,5825
2011-2015,"B15002_12_some_college,_less_than_1_year",6263,2289,3211,5044,11611,15421,1554,313,1215,12066,1742,4464,7547,90,2672,2775,910,1786,240,150,327,661,295,1295
2011-2015,"B15002_13_some_college,_1_or_more_years,_no_degree",20786,5026,7886,10929,34116,44114,6031,599,1907,37042,3056,11672,21548,364,5320,6983,1424,6147,999,147,1101,1737,759,2388
2011-2015,B15002_14_associate's_degree,6061,1660,3138,5211,13641,14499,3108,336,895,17596,1421,5373,9345,143,2397,2824,1043,2140,369,52,354,817,315,972
2011-2015,B15002_15_bachelor's_degree,51749,4735,7602,17937,84943,46622,28287,959,2183,111391,4451,37536,30311,587,7355,9409,1830,16318,2491,1463,1694,2256,838,3560
2011-2015,B15002_16_master's_degree,37318,2490,3521,8805,58876,22556,20674,366,796,86088,2401,22314,19085,287,3825,5914,608,10961,1657,1316,893,918,320,1212
2011-2015,B15002_17_professional_school_degree,19746,386,392,1692,26199,4213,8190,187,284,20249,551,3176,2390,77,594,535,102,4164,278,543,209,242,84,252
2011-2015,B15002_18_doctorate_degree,10074,429,577,2139,25264,5198,4216,69,106,15698,392,2677,1698,96,361,590,74,1989,336,232,200,204,47,349
2011-2015,B15002_19_female,241000,31008,53321,83592,371546,315912,84498,5327,16260,393640,23477,114490,140754,2796,43184,43471,13339,59390,8450,4840,8386,13071,4987,19061
2011-2015,B15002_20_no_schooling_completed,2489,174,313,785,5819,4329,1557,34,213,5480,226,1269,2415,3,313,243,139,706,107,0,18,490,95,113
2011-2015,B15002_21_nursery_to_4th_grade,1638,7,118,76,3152,3888,555,0,78,2912,86,677,1196,0,185,83,7,458,96,32,0,142,40,66
2011-2015,B15002_22_5th_and_6th_grade,2087,67,250,838,5126,6769,791,39,188,5918,102,1156,2104,23,207,165,88,687,77,35,51,384,178,55
2011-2015,B15002_23_7th_and_8th_grade,3275,203,459,757,4264,4595,623,184,303,3831,343,1091,1675,56,689,360,324,692,69,0,47,359,123,351
2011-2015,B15002_24_9th_grade,2830,129,256,686,3484,4430,388,61,270,3718,197,645,1601,40,479,340,222,648,14,21,60,217,62,326
2011-2015,B15002_25_10th_grade,3748,209,845,1134,2748,4051,461,189,471,2638,464,712,1793,84,672,474,272,575,108,6,108,219,54,519
2011-2015,B15002_26_11th_grade,5298,510,760,968,2697,4755,542,54,477,2024,333,599,1323,73,878,549,355,597,76,0,312,283,93,450
2011-2015,"B15002_27_12th_grade,_no_diploma",3200,323,614,830,5140,5500,763,31,314,5117,188,1420,2087,0,590,478,186,656,122,46,139,312,86,254
2011-2015,B15002_28_high_school_graduate_(includes_equivalency),44607,9250,15827,20432,54389,78472,7388,1485,5311,56735,6781,16118,31092,737,13403,10115,4849,7524,1411,418,2140,3188,1346,6117
2011-2015,"B15002_29_some_college,_less_than_1_year",9196,2768,4390,6186,15472,19618,1741,302,1222,14498,2047,5238,9191,137,3386,3134,1088,2520,452,115,834,967,219,1435
2011-2015,"B15002_30_some_college,_1_or_more_years,_no_degree",25788,5158,9225,10999,38733,53981,5278,915,2375,41501,3248,13062,20886,517,6511,7988,1691,5330,1096,348,1235,1678,882,2668
2011-2015,B15002_31_associate's_degree,7979,2711,4944,7270,21562,20636,2997,458,1341,23577,1881,8391,12000,199,3566,4397,1287,2585,535,223,440,1017,300,1515
2011-2015,B15002_32_bachelor's_degree,54131,5762,9615,19660,100812,60277,29781,887,2632,125284,4964,40074,33725,533,7587,9668,1842,17633,2651,1660,1715,2287,1038,3198
2011-2015,B15002_33_master's_degree,48477,3138,4779,10157,73308,35461,22572,547,883,76804,2096,19994,16859,275,4060,4789,877,13071,1182,1304,1027,1338,353,1699
2011-2015,B15002_34_professional_school_degree,18110,375,548,1410,18009,4687,6190,60,122,15093,317,2290,1860,47,381,319,50,3789,272,448,155,142,37,156
2011-2015,B15002_35_doctorate_degree,8147,224,378,1404,16831,4463,2871,81,60,8510,204,1754,947,72,277,369,62,1919,182,184,105,48,81,139
2011-2015,B19001_1_total,273390,31155,53171,88494,365235,305610,98441,5526,16515,392355,23595,113432,136794,3273,42823,43405,14364,66879,8467,5166,10080,12433,4723,20331
2011-2015,"B19001_2_less_than_$10,000",27878,1096,2343,3019,12309,12378,3656,333,560,10202,602,1798,2895,116,1481,1115,649,2403,235,100,922,442,104,1041
2011-2015,"B19001_3_$10,000_to_$14,999",11460,557,1225,2303,6704,7426,1832,300,709,5477,463,1056,1853,191,1006,579,753,1328,118,61,563,158,181,705
2011-2015,"B19001_4_$15,000_to_$19,999",10049,609,1330,2055,6887,8544,2288,121,660,6343,499,1407,2094,134,1071,721,463,1320,125,100,341,313,158,951
2011-2015,"B19001_5_$20,000_to_$24,999",10276,830,1379,2566,8992,9219,2223,114,650,6333,813,1746,3269,196,1370,784,682,1770,277,84,518,359,161,1042
2011-2015,"B19001_6_$25,000_to_$29,999",8886,613,1211,2868,8572,9733,2090,237,598,8123,550,1440,2844,115,1777,1133,607,1606,208,212,409,353,88,701
2011-2015,"B19001_7_$30,000_to_$34,999",9464,793,1254,3168,9448,11444,2025,225,843,8475,760,1825,3652,142,1176,949,616,1837,252,22,654,602,109,881
2011-2015,"B19001_8_$35,000_to_$39,999",8143,771,1500,2678,10316,11397,2036,142,596,7962,800,2194,4180,129,1540,1152,625,2166,258,115,458,594,170,860
2011-2015,"B19001_9_$40,000_to_$44,999",9898,969,1570,2951,11176,12849,1942,301,766,8906,648,2695,3948,125,1740,1506,572,2685,141,74,481,450,131,777
2011-2015,"B19001_10_$45,000_to_$49,999",8169,775,1474,2692,10675,11479,2202,109,622,7876,801,2793,3990,251,1436,1035,723,1724,158,173,565,407,93,499
2011-2015,"B19001_11_$50,000_to_$59,999",16387,1674,3045,6414,22068,25424,4507,326,1418,19813,1264,5061,9097,305,3367,3119,1378,4192,489,257,610,1375,545,1771
2011-2015,"B19001_12_$60,000_to_$74,999",21638,3236,5223,8873,30873,34320,7958,709,1733,30704,2250,7382,12177,256,4516,3933,1264,6939,817,298,1064,1485,721,2154
2011-2015,"B19001_13_$75,000_to_$99,999",29547,4319,8103,12518,45544,45084,12948,699,2750,49692,3292,13069,19419,369,6602,6329,2108,9069,887,562,1085,1858,661,2760
2011-2015,"B19001_14_$100,000_to_$124,999",24908,3873,6675,10938,40460,34952,11435,474,1767,48408,3376,15261,16948,299,4812,5267,1591,7788,886,628,825,1081,599,2164
2011-2015,"B19001_15_$125,000_to_$149,999",17106,3588,5511,8232,30311,24137,8865,463,1055,36938,2313,12169,13876,173,3811,4246,912,5515,863,439,375,1324,333,1512
2011-2015,"B19001_16_$150,000_to_$199,999",22697,4423,6435,9407,44900,27129,12968,416,1105,54927,2586,18903,18602,254,4292,5928,894,6771,1276,692,691,907,411,1452
2011-2015,"B19001_17_$200,000_or_more",36884,3029,4893,7812,66000,20095,19466,557,683,82176,2578,24633,17950,218,2826,5609,527,9766,1477,1349,519,725,258,1061
2011-2015,B19013_1_median_household_income_in_the_past_12_months_(in_2015_inflation-adjusted_dollars),70848,95828,90607,83700,99435,74260,105763,71295,66697,112552,91609,123453,98657,57210,78125,97144,61454,89134,105297,120522,51762,72890,73528,66677
2011-2015,B25001_1_total,303312,34384,57156,92708,382913,329897,109443,6261,17989,409963,26052,118919,142786,3936,45979,45759,16099,74317,8780,5601,11252,13284,4895,22408
2011-2015,B25003_1_total,273390,31155,53171,88494,365235,305610,98441,5526,16515,392355,23595,113432,136794,3273,42823,43405,14364,66879,8467,5166,10080,12433,4723,20331
2011-2015,B25003_2_owner_occupied,112750,25432,41321,65427,241654,189462,43697,4195,12023,265693,18674,87461,97744,2492,32589,33314,11020,28410,5925,3031,3473,7988,3246,15051
2011-2015,B25003_3_renter_occupied,160640,5723,11850,23067,123581,116148,54744,1331,4492,126662,4921,25971,39050,781,10234,10091,3344,38469,2542,2135,6607,4445,1477,5280
2011-2015,B25024_1_total,303312,34384,57156,92708,382913,329897,109443,6261,17989,409963,26052,118919,142786,3936,45979,45759,16099,74317,8780,5601,11252,13284,4895,22408
2011-2015,"B25024_2_1,_detached",36367,29943,40937,58057,184376,168972,29064,5381,14059,195385,21894,63945,79404,3829,35952,34627,13497,10847,4668,2244,4487,5667,2877,16854
2011-2015,"B25024_3_1,_attached",77175,2063,10187,18960,70243,53322,10451,172,1351,95039,1928,34184,37442,17,3862,5955,718,15777,1840,735,1325,3792,1005,1957
2011-2015,B25024_4_2,9714,282,162,1121,1904,1499,1044,143,186,1883,264,517,860,21,61,94,213,925,7,0,343,153,32,380
2011-2015,B25024_5_3_or_4,22103,172,951,1451,4995,5370,4096,116,285,5084,276,1162,1425,1,306,279,548,2271,79,115,496,342,21,305
2011-2015,B25024_6_5_to_9,19912,166,828,2619,19426,22704,6115,107,583,19411,144,3720,3713,16,419,1206,272,6418,321,76,827,705,30,521
2011-2015,B25024_7_10_to_19,34019,567,957,6367,36656,48663,8799,75,540,41844,698,9004,13082,0,1254,1629,472,10708,1313,418,2069,1833,196,596
2011-2015,B25024_8_20_to_49,24723,285,1204,1494,11421,6225,5574,48,155,12384,152,2180,2264,0,834,408,8,3977,139,154,991,228,308,110
2011-2015,B25024_9_50_or_more,79088,555,1212,2020,53218,21444,44007,197,116,36709,273,3600,2929,0,970,417,23,23332,413,1842,697,406,419,112
2011-2015,B25024_10_mobile_home,85,351,705,591,582,1653,249,22,678,2092,423,527,1660,52,2273,1144,348,47,0,17,17,158,7,1573
2011-2015,"B25024_11_boat,_rv,_van,_etc.",126,0,13,28,92,45,44,0,36,132,0,80,7,0,48,0,0,15,0,0,0,0,0,0
2011-2015,B25077_1_median_value_(dollars),475800,341800,284500,300100,454700,254700,607700,329500,251600,501200,357200,452300,333100,367000,248300,305300,213500,502500,470300,718900,317900,276700,248300,207300
2011-2015,B25034_1_total,303312,34384,57156,92708,382913,329897,109443,6261,17989,409963,26052,118919,142786,3936,45979,45759,16099,74317,8780,5601,11252,13284,4895,22408
2011-2015,B25034_2_built_2014_or_later,379,31,57,117,452,231,70,0,36,283,17,438,299,0,126,103,0,95,12,21,8,0,0,0
2011-2015,B25034_3_built_2010_to_2013,5318,566,1966,1753,5346,3717,2884,53,233,4965,391,7203,3927,54,781,1551,239,804,67,79,658,251,31,183
2011-2015,B25034_4_built_2000_to_2009,26797,6679,12572,17086,44971,36369,17070,1193,4840,49259,5036,44513,41956,410,12445,12868,2547,8232,860,723,1832,1163,1351,5260
2011-2015,B25034_5_built_1990_to_1999,9045,8990,11807,20715,47622,45127,10262,807,3240,64131,4019,31904,26393,643,12987,12069,2636,8446,936,321,968,2178,1162,4047
2011-2015,B25034_6_built_1980_to_1989,13889,7424,10513,16049,81643,45712,12055,591,2884,95954,6141,14818,28540,579,9997,9002,2257,7048,588,400,861,4861,474,3655
2011-2015,B25034_7_built_1970_to_1979,23793,5057,9317,13038,61899,51623,11877,1323,2145,86262,4026,8786,23127,383,5564,5437,2345,12491,1132,727,2506,2180,333,3525
2011-2015,B25034_8_built_1960_to_1969,36328,1835,5192,6100,56671,68325,12350,466,1334,56830,1551,4185,10816,404,1452,2084,1452,13949,2379,1092,1347,1608,430,1458
2011-2015,B25034_9_built_1950_to_1959,40117,1381,2473,4353,46667,45366,16702,427,1279,38226,1475,2319,4288,193,1274,1419,1663,8565,2210,1019,813,470,1080,1113
2011-2015,B25034_10_built_1940_to_1949,38557,1093,1593,2354,19921,17852,15894,135,576,9600,545,734,1543,258,476,524,1098,8385,463,831,490,113,25,560
2011-2015,B25034_11_built_1939_or_earlier,109089,1328,1666,11143,17721,15575,10279,1266,1422,4453,2851,4019,1897,1012,877,702,1862,6302,133,388,1769,460,9,2607
